lang_code,n_pages
en,1838712272
ru,402458746
es,250906994
de,225111495
fr,218863911
it,126406256
pt,124207090
pl,90908786
nl,86594116
tr,56417359
vi,54988654
cs,38254671
id,37979244
ro,35397563
sv,35153050
hu,29677075
uk,24968305
fa,23138888
ja,21818123
el,20932239
fi,20433664
da,17865888
th,17439979
no,14864710
bg,12755329
ko,12653878
ar,12411641
sk,11857945
ca,9477390
lt,8748025
he,7194574
sl,6310419
et,5542933
lv,5007982
hi,4512205
sq,3622957
az,3256331
hr,2841400
ta,2594191
ms,2337672
ml,2072605
sr,2010607
kk,1810963
te,1682441
mr,1673848
is,1560913
bs,1362582
mk,1358293
gl,1253170
eu,1155671
bn,1138848
be,1092785
ka,936497
fil,901507
mn,879878
af,868671
uz,669909
gu,659727
kn,657846
kaa,586361
sw,537847
ur,467236
ne,453349
cy,430719
hy,397523
ky,367577
si,349220
tt,346927
tg,328194
la,319178
so,293218
ga,285999
km,285740
mt,265388
eo,259971
ps,252888
rw,226466
ku,218850
lo,215982
fy,210025
ha,173485
my,172401
dv,167179
pa,150588
ckb,148870
lb,145988
mg,115387
ht,110443
ug,106549
am,106301
or,100530
fo,97754
gd,94275
ba,90318
tk,82495
mi,79509
hmn,75213
grc,70730
jv,69473
ceb,66164
sd,65858
yi,64949
kaa_Latn,61169
sn,60196
co,55387
su,54968
pap,54498
ig,54410
zu,53809
xh,53672
sm,52614
ny,52244
yo,52067
cv,47318
el_Latn,46428
kl,46027
haw,45670
gsw,42712
tet,40367
st,40360
lus,36437
oc,36379
as,33825
rm,33805
br,33219
sah,29169
hi_Latn,26723
se,23872
cnh,21556
om,18895
ce,14968
udm,13376
lg,13030
os,12623
nv,12578
kha,12070
ilo,11754
ctd_Latn,11629
vec,11108
hil,10564
tyv,9083
iba,7638
ru_Latn,7523
kbd,7486
ti,7288
sa,7117
av,6331
bo,6226
zza,6019
ber_Latn,5612
otq,5554
te_Latn,5305
bua,5264
ts,5198
cfm,4858
tn,4821
krc,4815
ak,4768
meo,4655
chm,4653
to,4612
ee,4536
nso,4422
ady,4206
rom,4187
bho,4121
ltg,4120
fj,3976
yua,3965
gn,3858
az_RU,3781
ln,3325
ada,3095
myv,3095
bik,3092
tlh,3054
kbp,3036
war,2928
wa,2772
bew,2677
rcf,2630
ta_Latn,2580
kac,2567
iu,2537
ay,2505
kum,2495
qu,2449
bgp,2427
hif,2358
kw,2324
nan_Latn_TW,2285
srn,2281
tly_IR,2239
sg,2106
gom,2102
ml_Latn,2071
kj,2062
ksd,2000
dz,1899
kv,1878
msi,1870
ve,1866
zap,1803
zxx_xx_dtynoise,1765
meu,1728
iso,1721
ium,1721
nhe,1714
tyz,1707
hui,1680
new,1634
mdf,1609
pag,1588
gv,1586
gag,1572
ngu,1534
quc,1526
mam,1513
min,1474
ho,1466
pon,1462
mrj,1447
lu,1444
gom_Latn,1432
alt,1422
nzi,1371
tzo,1357
bci,1329
dtp,1309
abt,1305
bbc,1274
pck,1255
mai,1240
mps,1239
emp,1238
mgh,1222
tab,1202
crh,1184
tbz,1126
ss,1089
chk,1082
bru,1072
nnb,1071
fon,1065
ppk,1063
tiv,1063
btx,1009
bg_Latn,991
mbt,969
ace,966
tvl,933
dov,923
ach,915
xal,913
cuk,899
kos,881
crs,873
wo,871
bts,869
ubu,846
gym,820
ibb,818
ape,814
stq,809
ang,803
enq,793
tsg,789
shn,788
kri,786
kek,782
rmc,738
acf,730
syr,716
qub,705
bm,702
tzh,702
jiv,696
kn_Latn,688
kjh,672
yap,638
ban,637
tuc,635
tcy,632
cab,629
cak,617
din,611
arn,593
lrc,587
rwo,572
hus,569
bum,559
mak,555
frp,550
seh,545
twu,539
kmb,538
ksw,536
sja,527
amu,511
mad,509
quh,501
dyu,483
toj,452
ch,449
sus,437
nog,419
jam,416
gui,409
nia,408
mas,405
bzj,404
mkn,402
lhu,377
ctu,366
kg,365
inb,343
guh,331
rn,323
bus,322
mfe,320
sda,317
bi,311
cr_Latn,303
gor,303
jac,303
chr,301
mh,296
mni,290
wal,286
teo,274
gub,271
qvi,266
tdx,262
rki,251
djk,246
nr,246
zne,239
izz,237
noa,234
bqc,228
srm,227
niq,226
bas,216
dwr,215
guc,214
jvn,213
hvn,200
sxn,197
koi,196
alz,195
nyu,195
bn_Latn,191
suz,186
pau,185
nij,183
sat_Latn,183
gu_Latn,179
msm,177
maz,170
qxr,153
shp,150
hne,146
ktu,144
laj,144
pis,139
mag,138
gbm,137
tzj,136
oj,135
ndc_ZW,132
tks,127
gvl,126
knj,126
awa,126
spp,123
mqy,119
tca,117
cce,116
skr,107
kmz_Latn,106
dje,100
gof,97
agr,93
qvz,88
adh,87
quf,86
kjg,84
tsc,82
ber,79
ify,79
cbk,78
quy,78
ahk,77
cac,77
akb,71
nut,67
ffm,65
taj,65
ms_Arab,63
brx,62
ann,56
qup,53
ms_Arab_BN,46
miq,45
msb,41
bim,40
raj,40
kwi,37
tll,37
trp,36
smt,34
mrw,29
dln,28
qvc,27
doi,26
ff,26
zh,19850947
